,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,0.0,,,state,chng
1,al,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,0.0,,,state,chng
2,ar,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,0.0,,,state,chng
3,as,7dav_outpatient_covid,2020-01-01,2023-03-13,1167,0.0,,,state,chng
4,az,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,8.64747695447392e-06,,,state,chng
5,ca,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,1.26325718231889e-05,,,state,chng
6,co,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,5.08780707035589e-05,,,state,chng
7,ct,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,0.0,,,state,chng
8,dc,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,0.0,,,state,chng
9,de,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,0.0,,,state,chng
10,fl,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,7.72435385779979e-06,,,state,chng
11,ga,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,0.0,,,state,chng
12,gu,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,,,,state,chng
13,hi,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,0.0,,,state,chng
14,ia,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,0.0,,,state,chng
15,id,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,0.0003108647220351,,,state,chng
16,il,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,0.0,,,state,chng
17,in,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,1.51044472527528e-05,,,state,chng
18,ks,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,4.32501009169021e-05,,,state,chng
19,ky,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,0.0,,,state,chng
20,la,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,0.0,,,state,chng
21,ma,7dav_outpatient_covid,2020-01-01,2023-08-01,1308,0.0,,,state,chng
